X,Y
20.002826107,+Inf,+Inf
20.103498658,+Inf,+Inf
20.203349909,+Inf,+Inf
20.304638212,+Inf,+Inf
20.404022097,+Inf,+Inf
20.501622709,+Inf,+Inf
20.600874294,+Inf,+Inf
20.702320112,+Inf,+Inf
20.803843619,+Inf,+Inf
20.903650664,+Inf,+Inf
21.004353119,+Inf,+Inf
21.100679174,+Inf,+Inf
21.201727692,+Inf,+Inf
21.303610285,+Inf,+Inf
21.400414677,+Inf,+Inf
21.501276979,+Inf,+Inf
21.600435665,+Inf,+Inf
21.701287733,+Inf,+Inf
21.801134066,+Inf,+Inf
21.903366897,+Inf,+Inf
22.001823757,+Inf,+Inf
22.101591701,+Inf,+Inf
22.202709214,+Inf,+Inf
22.303178654,+Inf,+Inf
22.401832876,+Inf,+Inf
22.501950617,+Inf,+Inf
22.601477167,+Inf,+Inf
22.703227925,+Inf,+Inf
22.801047164,+Inf,+Inf
22.904472074,+Inf,+Inf
23.00069967,+Inf,+Inf
23.103391708,+Inf,+Inf
23.200184191,+Inf,+Inf
23.303920714,+Inf,+Inf
23.404348378999998,+Inf,+Inf
23.504442131,+Inf,+Inf
23.604771065,+Inf,+Inf
23.705032323,+Inf,+Inf
23.801106017,+Inf,+Inf
23.904370203,+Inf,+Inf
24.000780123,+Inf,+Inf
24.105277492,+Inf,+Inf
24.204989881,+Inf,+Inf
24.301702853,+Inf,+Inf
24.400405277,+Inf,+Inf
24.501918733,+Inf,+Inf
24.60068551,+Inf,+Inf
24.700208781,+Inf,+Inf
24.800452437,+Inf,+Inf
24.901221956,+Inf,+Inf
25.000309023,+Inf,+Inf
25.1003424,+Inf,+Inf
25.200294088,+Inf,+Inf
25.303201058,+Inf,+Inf
25.400567651,+Inf,+Inf
25.504169283,+Inf,+Inf
25.602134803,+Inf,+Inf
25.700362666,+Inf,+Inf
25.801832593,+Inf,+Inf
25.902259137,+Inf,+Inf
26.002241521,+Inf,+Inf
26.100193043,+Inf,+Inf
26.202779271,+Inf,+Inf
26.303056621,+Inf,+Inf
26.403317289,+Inf,+Inf
26.500993613,+Inf,+Inf
26.603947453,+Inf,+Inf
26.701571748,+Inf,+Inf
26.804602428,+Inf,+Inf
26.901694793,+Inf,+Inf
27.004963817,+Inf,+Inf
27.100133903,+Inf,+Inf
27.202949527,+Inf,+Inf
27.30104423,+Inf,+Inf
27.401776534,+Inf,+Inf
27.505192623,+Inf,+Inf
27.601778425,+Inf,+Inf
27.702338921,+Inf,+Inf
27.802666523,+Inf,+Inf
27.903519238,+Inf,+Inf
28.000401171,+Inf,+Inf
28.105720539,+Inf,+Inf
28.200633536,+Inf,+Inf
28.300947051,+Inf,+Inf
28.401124723,+Inf,+Inf
28.503502301,+Inf,+Inf
28.603325432,+Inf,+Inf
28.703583236,+Inf,+Inf
28.802114301,+Inf,+Inf
28.906971159,+Inf,+Inf
29.00446245,+Inf,+Inf
29.103632452,+Inf,+Inf
29.20390044,+Inf,+Inf
29.30379272,+Inf,+Inf
29.404828733,+Inf,+Inf
29.504821096,+Inf,+Inf
29.604313183,+Inf,+Inf
29.704441838,+Inf,+Inf
29.804545786,+Inf,+Inf
29.905297983,+Inf,+Inf
30.005211018,+Inf,+Inf
0.142414765,NaN,+Inf
0.201978128,NaN,+Inf
0.301920404,NaN,+Inf
0.408385165,NaN,+Inf
0.508366207,NaN,+Inf
0.613955392,+Inf,+Inf
0.702054033,+Inf,+Inf
0.809214234,+Inf,+Inf
0.902109958,+Inf,+Inf
1.002781678,+Inf,+Inf
1.102033893,+Inf,+Inf
1.205435242,+Inf,+Inf
1.303133794,+Inf,+Inf
1.4019132060000001,+Inf,+Inf
1.502518789,+Inf,+Inf
1.601928439,+Inf,+Inf
1.7026360280000001,+Inf,+Inf
1.803679845,+Inf,+Inf
1.902404707,+Inf,+Inf
2.002015878,+Inf,+Inf
2.108467953,+Inf,+Inf
2.202199826,+Inf,+Inf
2.302899316,+Inf,+Inf
2.402854839,+Inf,+Inf
2.502022952,+Inf,+Inf
2.602126666,+Inf,+Inf
2.702851513,+Inf,+Inf
2.802416548,+Inf,+Inf
2.902161838,+Inf,+Inf
3.002933312,+Inf,+Inf
3.103929081,+Inf,+Inf
3.203711049,+Inf,+Inf
3.30189917,+Inf,+Inf
3.40249761,+Inf,+Inf
3.5044144729999998,+Inf,+Inf
3.601918178,+Inf,+Inf
3.701940734,+Inf,+Inf
3.8019332070000003,+Inf,+Inf
3.902280977,+Inf,+Inf
4.002409296,+Inf,+Inf
4.102368376,+Inf,+Inf
4.202021486,+Inf,+Inf
4.302056044,+Inf,+Inf
4.401967806,+Inf,+Inf
4.502183916,+Inf,+Inf
4.60618645,+Inf,+Inf
4.702986629,+Inf,+Inf
4.801971547,+Inf,+Inf
4.902165388,+Inf,+Inf
5.005576261,+Inf,+Inf
5.102330516,+Inf,+Inf
5.202617855,+Inf,+Inf
5.30266936,+Inf,+Inf
5.402378822,+Inf,+Inf
5.502035781,+Inf,+Inf
5.602001326,+Inf,+Inf
