X,Y
0,0.2986111111111111
1,0.21064814814814814
2,0.11458333333333333
3,0.05555555555555555
4,0.04050925925925926
5,0.04398148148148148
6,0.03935185185185185
7,0.028935185185185185
8,0.019675925925925927
9,0.011574074074074073
10,0.013888888888888888
11,0.006944444444444444
12,0.015046296296296295
13,0.011574074074074073
14,0.01273148148148148
15,0.004629629629629629
16,0.0023148148148148147
17,0.0023148148148148147
18,0.009259259259259259
19,0.009259259259259259
20,0.006944444444444444
21,0.004629629629629629
22,0.006944444444444444
23,0.003472222222222222
24,0.006944444444444444
25,0.006944444444444444
26,0.006944444444444444
27,0.0011574074074074073
28,0.003472222222222222
29,0.0011574074074074073
