ID,OUT,ACC,REJ,IN,DROP
417a89ef6ac5f458,21,10,11,21,11
3ccd0e07a7a7897f,11,9,2,11,9
a43185249bf44cfe,13,10,3,13,9
0ece70a575e0ecf4,12,8,4,12,8
0de11999fb991fa7,22,12,10,22,13
6269a513fc1d6655,9,9,0,9,9
730947cefbb94d5a,8,7,1,8,7
6b2e1feb71b3e7ce,11,9,2,11,7
fadf53f8487f34d7,11,8,3,11,7
c4af98658dec1910,10,8,2,10,10
7e839eff7522b603,20,10,10,20,10
11021c52add78d9b,15,11,4,15,11
38873525ec0d1bbe,17,11,6,17,11
cae9b0db5f4cd1ea,18,7,11,18,5
5058dc5ae1daa44c,17,12,5,17,12
f88ba5b652283013,12,10,2,12,10
a90976d3d9b6f13c,6,6,0,6,8
f48f712e48d35cc1,21,14,7,21,14
ba9e212b7a72a3f7,15,10,5,15,13
9542b1463eca9481,9,7,2,8,6
c2bbd2d2fba98e70,9,9,0,9,8
33764a2e495a4a01,12,10,2,12,12
3ea1c60b514f6f55,16,13,3,16,14
5d0b79ae946ebae7,16,10,6,16,9
319eedbdad21a1e6,8,7,1,8,8
c9e601579d88b948,9,7,2,9,3
7bcae368cadb2b29,13,10,3,13,9
996b4daf83c09243,9,8,1,9,6
b4ad06db1d86d810,15,9,6,15,8
d53a0d5960a67ea6,17,11,6,17,9
60bfc33e6955d337,8,8,0,8,10
1dee24206e4da75a,18,9,9,18,10
a618761305cbf82e,10,8,2,10,5
33d96b945baa4c02,10,9,1,10,8
b0f448cf1d6d5581,17,12,5,17,11
da8be92f5bab5777,6,6,0,6,4
7ac1c3c42dc37db5,11,9,2,11,9
795b21c90f339638,25,11,14,25,8
8045e586bb65fb6c,8,7,1,8,5
024d9a098f1b0314,18,11,7,18,11
69d284244ee23466,10,8,2,10,10
334a9570ac519f94,10,8,2,10,9
74d364bec1554680,14,7,7,14,4
ce9cdffa1d8b6633,8,8,0,8,8
021d3679b5c13699,19,12,7,19,13
d67a4d68a82e2008,15,11,4,15,12
cc41bc84a4480914,11,8,3,11,7
4c9fa5be60821e00,16,8,8,16,6
04e4836c208626f8,8,7,1,8,4
d5c3cf4915567ad1,17,10,7,17,9
ca773b219e8d81bf,14,10,4,14,10
2ae7513e077adee3,12,10,2,12,8
cf45c626556824f9,17,11,6,17,10
324af58cb706ee3d,10,8,2,10,6
9062c8749fe60daa,20,9,11,20,8
Avg,+Inf,+Inf,+Inf,+Inf,+Inf
